Region,Product Category,Population Density,Income Level,Climate,Season,Sales
North,Fruits,Medium,High,Temperate,Autumn,3077
North,Fruits,Medium,High,Temperate,Winter,9393
North,Fruits,Medium,High,Continental,Spring,5549
North,Fruits,Medium,High,Continental,Summer,6303
North,Fruits,Medium,High,Continental,Autumn,1984
North,Fruits,Medium,High,Continental,Winter,2283
North,Fruits,Medium,High,Polar,Spring,5958
North,Fruits,Medium,High,Polar,Summer,2427
North,Fruits,Medium,High,Polar,Autumn,2455
North,Fruits,Medium,High,Polar,Winter,1182
North,Fruits,Medium,Medium,Tropical,Spring,5362
North,Fruits,Medium,Medium,Tropical,Summer,9841
North,Fruits,Medium,Medium,Tropical,Autumn,9591
North,Fruits,Medium,Medium,Tropical,Winter,4495
North,Fruits,Medium,Medium,Temperate,Spring,8942
North,Fruits,Medium,Medium,Temperate,Summer,6724
North,Fruits,Medium,Medium,Temperate,Autumn,3778
North,Fruits,Medium,Medium,Temperate,Winter,6675
North,Fruits,Medium,Medium,Continental,Spring,4425
North,Fruits,Medium,Medium,Continental,Summer,9022
North,Fruits,Medium,Medium,Continental,Autumn,6826
North,Fruits,Medium,Medium,Continental,Winter,5951
North,Fruits,Medium,Medium,Polar,Spring,7836
North,Fruits,Medium,Medium,Polar,Summer,3979
North,Fruits,Medium,Medium,Polar,Autumn,1101
North,Fruits,Medium,Medium,Polar,Winter,1663
North,Fruits,Medium,Low,Tropical,Spring,5746
North,Fruits,Medium,Low,Tropical,Summer,3049
North,Fruits,Medium,Low,Tropical,Autumn,2819
North,Fruits,Medium,Low,Tropical,Winter,9832
North,Fruits,Medium,Low,Temperate,Spring,5600
North,Fruits,Medium,Low,Temperate,Summer,7611
North,Fruits,Medium,Low,Temperate,Autumn,3705
North,Fruits,Medium,Low,Temperate,Winter,2857
North,Fruits,Medium,Low,Continental,Spring,7475
North,Fruits,Medium,Low,Continental,Summer,5952
North,Fruits,Medium,Low,Continental,Autumn,4624
North,Fruits,Medium,Low,Continental,Winter,8819
North,Fruits,Medium,Low,Polar,Spring,8573
North,Fruits,Medium,Low,Polar,Summer,9940
North,Fruits,Medium,Low,Polar,Autumn,5019
North,Fruits,Medium,Low,Polar,Winter,8067
North,Fruits,Low,High,Tropical,Spring,4196
North,Fruits,Low,High,Tropical,Summer,3366
North,Fruits,Low,High,Tropical,Autumn,3303
North,Fruits,Low,High,Tropical,Winter,5368
North,Fruits,Low,High,Temperate,Spring,9902
North,Fruits,Low,High,Temperate,Summer,6829
North,Fruits,Low,High,Temperate,Autumn,1364
North,Fruits,Low,High,Temperate,Winter,5193
North,Fruits,Low,High,Continental,Spring,9611
North,Fruits,Low,High,Continental,Summer,7577
North,Fruits,Low,High,Continental,Autumn,5168
North,Fruits,Low,High,Continental,Winter,2413
North,Fruits,Low,High,Polar,Spring,7137
North,Fruits,Low,High,Polar,Summer,1113
North,Fruits,Low,High,Polar,Autumn,6032
North,Fruits,Low,High,Polar,Winter,9819
North,Fruits,Low,Medium,Tropical,Spring,6420
North,Fruits,Low,Medium,Tropical,Summer,5018
North,Fruits,Low,Medium,Tropical,Autumn,7324
North,Fruits,Low,Medium,Tropical,Winter,5125
North,Fruits,Low,Medium,Temperate,Spring,1024
North,Fruits,Low,Medium,Temperate,Summer,3651
North,Fruits,Low,Medium,Temperate,Autumn,1503
North,Fruits,Low,Medium,Temperate,Winter,7878
North,Fruits,Low,Medium,Continental,Spring,3402
North,Fruits,Low,Medium,Continental,Summer,8085
North,Fruits,Low,Medium,Continental,Autumn,7197
North,Fruits,Low,Medium,Continental,Winter,3736
North,Fruits,Low,Medium,Polar,Spring,4346
North,Fruits,Low,Medium,Polar,Summer,7950
North,Fruits,Low,Medium,Polar,Autumn,5703
North,Fruits,Low,Medium,Polar,Winter,5421
North,Fruits,Low,Low,Tropical,Spring,1348
North,Fruits,Low,Low,Tropical,Summer,1037
North,Fruits,Low,Low,Tropical,Autumn,4758
North,Fruits,Low,Low,Tropical,Winter,5785
North,Fruits,Low,Low,Temperate,Spring,8698
North,Fruits,Low,Low,Temperate,Summer,2187
North,Fruits,Low,Low,Temperate,Autumn,3721
North,Fruits,Low,Low,Temperate,Winter,7875
North,Fruits,Low,Low,Continental,Spring,9569
North,Fruits,Low,Low,Continental,Summer,8304
North,Fruits,Low,Low,Continental,Autumn,2293
North,Fruits,Low,Low,Continental,Winter,4011
North,Fruits,Low,Low,Polar,Spring,2691
North,Fruits,Low,Low,Polar,Summer,9477
North,Fruits,Low,Low,Polar,Autumn,6747
North,Fruits,Low,Low,Polar,Winter,6912
North,Vegetables,High,High,Tropical,Spring,4868
North,Vegetables,High,High,Tropical,Summer,5057
North,Vegetables,High,High,Tropical,Autumn,1967
North,Vegetables,High,High,Tropical,Winter,8740
North,Vegetables,High,High,Temperate,Spring,3469
North,Vegetables,High,High,Temperate,Summer,3209
North,Vegetables,High,High,Temperate,Autumn,8790
North,Vegetables,High,High,Temperate,Winter,1001
North,Vegetables,High,High,Continental,Spring,4619
North,Vegetables,High,High,Continental,Summer,5116
North,Vegetables,High,High,Continental,Autumn,7448
North,Vegetables,High,High,Continental,Winter,6217
North,Vegetables,High,High,Polar,Spring,1260
North,Vegetables,High,High,Polar,Summer,5608
North,Vegetables,High,High,Polar,Autumn,8054
North,Vegetables,High,High,Polar,Winter,7816
North,Vegetables,High,Medium,Tropical,Spring,1555
North,Vegetables,High,Medium,Tropical,Summer,7558
North,Vegetables,High,Medium,Tropical,Autumn,9632
North,Vegetables,High,Medium,Tropical,Winter,5976
North,Vegetables,High,Medium,Temperate,Spring,2775
North,Vegetables,High,Medium,Temperate,Summer,5141
North,Vegetables,High,Medium,Temperate,Autumn,8641
North,Vegetables,High,Medium,Temperate,Winter,5849
North,Vegetables,High,Medium,Continental,Spring,8203
North,Vegetables,High,Medium,Continental,Summer,7828
North,Vegetables,High,Medium,Continental,Autumn,5567
North,Vegetables,High,Medium,Continental,Winter,3903
North,Vegetables,High,Medium,Polar,Spring,9187
North,Vegetables,High,Medium,Polar,Summer,9231
North,Vegetables,High,Medium,Polar,Autumn,6785
North,Vegetables,High,Medium,Polar,Winter,9962
North,Vegetables,High,Low,Tropical,Spring,4144
North,Vegetables,High,Low,Tropical,Summer,8296
North,Vegetables,High,Low,Tropical,Autumn,2636
North,Vegetables,High,Low,Tropical,Winter,4085
North,Vegetables,High,Low,Temperate,Spring,9786
North,Vegetables,High,Low,Temperate,Summer,2418
North,Vegetables,High,Low,Temperate,Autumn,6730
North,Vegetables,High,Low,Temperate,Winter,9765
North,Vegetables,High,Low,Continental,Spring,5311
North,Vegetables,High,Low,Continental,Summer,3837
North,Vegetables,High,Low,Continental,Autumn,3381
North,Vegetables,High,Low,Continental,Winter,9180
North,Vegetables,High,Low,Polar,Spring,3636
North,Vegetables,High,Low,Polar,Summer,2299
North,Vegetables,High,Low,Polar,Autumn,6169
North,Vegetables,High,Low,Polar,Winter,8955
North,Vegetables,Medium,High,Tropical,Spring,8498
North,Vegetables,Medium,High,Tropical,Summer,9102
North,Vegetables,Medium,High,Tropical,Autumn,3025
North,Vegetables,Medium,High,Tropical,Winter,5241
North,Vegetables,Medium,High,Temperate,Spring,3081
North,Vegetables,Medium,High,Temperate,Summer,6746
North,Vegetables,Medium,High,Temperate,Autumn,1439
North,Vegetables,Medium,High,Temperate,Winter,6066
North,Vegetables,Medium,High,Continental,Spring,1842
North,Vegetables,Medium,High,Continental,Summer,1709
North,Vegetables,Medium,High,Continental,Autumn,6233
North,Vegetables,Medium,High,Continental,Winter,3117
North,Vegetables,Medium,High,Polar,Spring,7472
North,Vegetables,Medium,High,Polar,Summer,1500
North,Vegetables,Medium,High,Polar,Autumn,4186
North,Vegetables,Medium,High,Polar,Winter,4003
North,Vegetables,Medium,Medium,Tropical,Spring,9731
North,Vegetables,Medium,Medium,Tropical,Summer,2005
North,Vegetables,Medium,Medium,Tropical,Autumn,8014
North,Vegetables,Medium,Medium,Tropical,Winter,6973
North,Vegetables,Medium,Medium,Temperate,Spring,5231
North,Vegetables,Medium,Medium,Temperate,Summer,7314
North,Vegetables,Medium,Medium,Temperate,Autumn,7483
North,Vegetables,Medium,Medium,Temperate,Winter,5396
North,Vegetables,Medium,Medium,Continental,Spring,3476
North,Vegetables,Medium,Medium,Continental,Summer,7699
North,Vegetables,Medium,Medium,Continental,Autumn,9871
North,Vegetables,Medium,Medium,Continental,Winter,4704
North,Vegetables,Medium,Medium,Polar,Spring,6465
North,Vegetables,Medium,Medium,Polar,Summer,6414
North,Vegetables,Medium,Medium,Polar,Autumn,5402
North,Vegetables,Medium,Medium,Polar,Winter,1188
North,Vegetables,Medium,Low,Tropical,Spring,8538
North,Vegetables,Medium,Low,Tropical,Summer,2418
North,Vegetables,Medium,Low,Tropical,Autumn,5741
North,Vegetables,Medium,Low,Tropical,Winter,1270
North,Vegetables,Medium,Low,Temperate,Spring,9689
North,Vegetables,Medium,Low,Temperate,Summer,7397
North,Vegetables,Medium,Low,Temperate,Autumn,9814
North,Vegetables,Medium,Low,Temperate,Winter,3925
North,Vegetables,Medium,Low,Continental,Spring,5518
North,Vegetables,Medium,Low,Continental,Summer,8582
North,Vegetables,Medium,Low,Continental,Autumn,7383
North,Vegetables,Medium,Low,Continental,Winter,6597
North,Vegetables,Medium,Low,Polar,Spring,2278
North,Vegetables,Medium,Low,Polar,Summer,4241
North,Vegetables,Medium,Low,Polar,Autumn,5798
North,Vegetables,Medium,Low,Polar,Winter,7865
North,Vegetables,Low,High,Tropical,Spring,3481
North,Vegetables,Low,High,Tropical,Summer,9548
North,Vegetables,Low,High,Tropical,Autumn,5858
North,Vegetables,Low,High,Tropical,Winter,1296
North,Vegetables,Low,High,Temperate,Spring,8160
North,Vegetables,Low,High,Temperate,Summer,9645
North,Vegetables,Low,High,Temperate,Autumn,1029
North,Vegetables,Low,High,Temperate,Winter,7434
North,Vegetables,Low,High,Continental,Spring,1988
North,Vegetables,Low,High,Continental,Summer,8391
North,Vegetables,Low,High,Continental,Autumn,1464
North,Vegetables,Low,High,Continental,Winter,6767
North,Vegetables,Low,High,Polar,Spring,5130
North,Vegetables,Low,High,Polar,Summer,4199
North,Vegetables,Low,High,Polar,Autumn,4604
North,Vegetables,Low,High,Polar,Winter,8343
North,Vegetables,Low,Medium,Tropical,Spring,6669
North,Vegetables,Low,Medium,Tropical,Summer,8151
North,Vegetables,Low,Medium,Tropical,Autumn,7894
North,Vegetables,Low,Medium,Tropical,Winter,7960
North,Vegetables,Low,Medium,Temperate,Spring,2527
North,Vegetables,Low,Medium,Temperate,Summer,1335
North,Vegetables,Low,Medium,Temperate,Autumn,6833
North,Vegetables,Low,Medium,Temperate,Winter,6867
North,Vegetables,Low,Medium,Continental,Spring,6639
North,Vegetables,Low,Medium,Continental,Summer,9952
North,Vegetables,Low,Medium,Continental,Autumn,5580
North,Vegetables,Low,Medium,Continental,Winter,8099
North,Vegetables,Low,Medium,Polar,Spring,9927
North,Vegetables,Low,Medium,Polar,Summer,6140
North,Vegetables,Low,Medium,Polar,Autumn,3077
North,Vegetables,Low,Medium,Polar,Winter,2305
North,Vegetables,Low,Low,Tropical,Spring,9825
North,Vegetables,Low,Low,Tropical,Summer,8615
North,Vegetables,Low,Low,Tropical,Autumn,9551
North,Vegetables,Low,Low,Tropical,Winter,5802
North,Vegetables,Low,Low,Temperate,Spring,8748
North,Vegetables,Low,Low,Temperate,Summer,2354
North,Vegetables,Low,Low,Temperate,Autumn,1157
North,Vegetables,Low,Low,Temperate,Winter,2098
North,Vegetables,Low,Low,Continental,Spring,3983
North,Vegetables,Low,Low,Continental,Summer,6638
North,Vegetables,Low,Low,Continental,Autumn,4558
North,Vegetables,Low,Low,Continental,Winter,6757
North,Vegetables,Low,Low,Polar,Spring,4990
North,Vegetables,Low,Low,Polar,Summer,5492
North,Vegetables,Low,Low,Polar,Autumn,3567
North,Vegetables,Low,Low,Polar,Winter,8315
North,Dairy,High,High,Tropical,Spring,5095
North,Dairy,High,High,Tropical,Summer,4390
North,Dairy,High,High,Tropical,Autumn,5410
North,Dairy,High,High,Tropical,Winter,9209
North,Dairy,High,High,Temperate,Spring,5884
North,Dairy,High,High,Temperate,Summer,3933
North,Dairy,High,High,Temperate,Autumn,7983
North,Dairy,High,High,Temperate,Winter,8629
North,Dairy,High,High,Continental,Spring,9166
North,Dairy,High,High,Continental,Summer,3590
North,Dairy,High,High,Continental,Autumn,7044
North,Dairy,High,High,Continental,Winter,7419
North,Dairy,High,High,Polar,Spring,4371
North,Dairy,High,High,Polar,Summer,6857
North,Dairy,High,High,Polar,Autumn,9326
North,Dairy,High,High,Polar,Winter,4056
North,Dairy,High,Medium,Tropical,Spring,2305
North,Dairy,High,Medium,Tropical,Summer,9223
North,Dairy,High,Medium,Tropical,Autumn,1497
North,Dairy,High,Medium,Tropical,Winter,5660
North,Dairy,High,Medium,Temperate,Spring,1731
North,Dairy,High,Medium,Temperate,Summer,8432
North,Dairy,High,Medium,Temperate,Autumn,4441
North,Dairy,High,Medium,Temperate,Winter,6039
North,Dairy,High,Medium,Continental,Spring,2142
North,Dairy,High,Medium,Continental,Summer,9875
North,Dairy,High,Medium,Continental,Autumn,3479
North,Dairy,High,Medium,Continental,Winter,2562
North,Dairy,High,Medium,Polar,Spring,8931
North,Dairy,High,Medium,Polar,Summer,2138
North,Dairy,High,Medium,Polar,Autumn,8827
North,Dairy,High,Medium,Polar,Winter,1183
North,Dairy,High,Low,Tropical,Spring,7192
North,Dairy,High,Low,Tropical,Summer,6739
North,Dairy,High,Low,Tropical,Autumn,7444
North,Dairy,High,Low,Tropical,Winter,8979
North,Dairy,High,Low,Temperate,Spring,7733
North,Dairy,High,Low,Temperate,Summer,9891
North,Dairy,High,Low,Temperate,Autumn,4533
North,Dairy,High,Low,Temperate,Winter,5289
North,Dairy,High,Low,Continental,Spring,6388
North,Dairy,High,Low,Continental,Summer,3182
North,Dairy,High,Low,Continental,Autumn,7416
North,Dairy,High,Low,Continental,Winter,8276
North,Dairy,High,Low,Polar,Spring,9032
North,Dairy,High,Low,Polar,Summer,8329
North,Dairy,High,Low,Polar,Autumn,9855
North,Dairy,High,Low,Polar,Winter,5386
North,Dairy,Medium,High,Tropical,Spring,1241
North,Dairy,Medium,High,Tropical,Summer,4062
North,Dairy,Medium,High,Tropical,Autumn,5240
North,Dairy,Medium,High,Tropical,Winter,9061
North,Dairy,Medium,High,Temperate,Spring,6624
North,Dairy,Medium,High,Temperate,Summer,3216
North,Dairy,Medium,High,Temperate,Autumn,7296
North,Dairy,Medium,High,Temperate,Winter,6014
North,Dairy,Medium,High,Continental,Spring,3217
North,Dairy,Medium,High,Continental,Summer,5541
North,Dairy,Medium,High,Continental,Autumn,6008
North,Dairy,Medium,High,Continental,Winter,4413
North,Dairy,Medium,High,Polar,Spring,1048
North,Dairy,Medium,High,Polar,Summer,3408
North,Dairy,Medium,High,Polar,Autumn,8004
North,Dairy,Medium,High,Polar,Winter,1301
North,Dairy,Medium,Medium,Tropical,Spring,2031
North,Dairy,Medium,Medium,Tropical,Summer,1286
North,Dairy,Medium,Medium,Tropical,Autumn,2691
North,Dairy,Medium,Medium,Tropical,Winter,6629
North,Dairy,Medium,Medium,Temperate,Spring,4837
North,Dairy,Medium,Medium,Temperate,Summer,4041
North,Dairy,Medium,Medium,Temperate,Autumn,2467
North,Dairy,Medium,Medium,Temperate,Winter,6747
North,Dairy,Medium,Medium,Continental,Spring,7666
North,Dairy,Medium,Medium,Continental,Summer,5584
North,Dairy,Medium,Medium,Continental,Autumn,1451
North,Dairy,Medium,Medium,Continental,Winter,8589
North,Dairy,Medium,Medium,Polar,Spring,2180
North,Dairy,Medium,Medium,Polar,Summer,8294
North,Dairy,Medium,Medium,Polar,Autumn,1275
North,Dairy,Medium,Medium,Polar,Winter,5185
North,Dairy,Medium,Low,Tropical,Spring,9774
North,Dairy,Medium,Low,Tropical,Summer,1742
North,Dairy,Medium,Low,Tropical,Autumn,3114
North,Dairy,Medium,Low,Tropical,Winter,8257
North,Dairy,Medium,Low,Temperate,Spring,1771
North,Dairy,Medium,Low,Temperate,Summer,4350
North,Dairy,Medium,Low,Temperate,Autumn,3421
North,Dairy,Medium,Low,Temperate,Winter,2295
North,Dairy,Medium,Low,Continental,Spring,7178
North,Dairy,Medium,Low,Continental,Summer,5053
North,Dairy,Medium,Low,Continental,Autumn,2458
North,Dairy,Medium,Low,Continental,Winter,6594
North,Dairy,Medium,Low,Polar,Spring,6430
North,Dairy,Medium,Low,Polar,Summer,5135
North,Dairy,Medium,Low,Polar,Autumn,8457
North,Dairy,Medium,Low,Polar,Winter,2034
North,Dairy,Low,High,Tropical,Spring,2189
North,Dairy,Low,High,Tropical,Summer,1978
North,Dairy,Low,High,Tropical,Autumn,1451
North,Dairy,Low,High,Tropical,Winter,1626
North,Dairy,Low,High,Temperate,Spring,6959
North,Dairy,Low,High,Temperate,Summer,6518
North,Dairy,Low,High,Temperate,Autumn,2917
North,Dairy,Low,High,Temperate,Winter,7620
North,Dairy,Low,High,Continental,Spring,1456
North,Dairy,Low,High,Continental,Summer,8146
North,Dairy,Low,High,Continental,Autumn,1373
North,Dairy,Low,High,Continental,Winter,2856
North,Dairy,Low,High,Polar,Spring,8947
North,Dairy,Low,High,Polar,Summer,7713
North,Dairy,Low,High,Polar,Autumn,4206
North,Dairy,Low,High,Polar,Winter,6311
North,Dairy,Low,Medium,Tropical,Spring,6912
North,Dairy,Low,Medium,Tropical,Summer,4742
North,Dairy,Low,Medium,Tropical,Autumn,9185
North,Dairy,Low,Medium,Tropical,Winter,8040
North,Dairy,Low,Medium,Temperate,Spring,8102
North,Dairy,Low,Medium,Temperate,Summer,6501
North,Dairy,Low,Medium,Temperate,Autumn,9507
North,Dairy,Low,Medium,Temperate,Winter,6548
North,Dairy,Low,Medium,Continental,Spring,1873
North,Dairy,Low,Medium,Continental,Summer,2553
North,Dairy,Low,Medium,Continental,Autumn,6197
North,Dairy,Low,Medium,Continental,Winter,7190
North,Dairy,Low,Medium,Polar,Spring,5936
North,Dairy,Low,Medium,Polar,Summer,7290
North,Dairy,Low,Medium,Polar,Autumn,9698
North,Dairy,Low,Medium,Polar,Winter,7420
North,Dairy,Low,Low,Tropical,Spring,3912
North,Dairy,Low,Low,Tropical,Summer,5255
North,Dairy,Low,Low,Tropical,Autumn,7117
North,Dairy,Low,Low,Tropical,Winter,1131
North,Dairy,Low,Low,Temperate,Spring,9308
North,Dairy,Low,Low,Temperate,Summer,2193
North,Dairy,Low,Low,Temperate,Autumn,8516
North,Dairy,Low,Low,Temperate,Winter,4189
North,Dairy,Low,Low,Continental,Spring,9184
North,Dairy,Low,Low,Continental,Summer,5098
North,Dairy,Low,Low,Continental,Autumn,8322
North,Dairy,Low,Low,Continental,Winter,6547
North,Dairy,Low,Low,Polar,Spring,5228
North,Dairy,Low,Low,Polar,Summer,5720
North,Dairy,Low,Low,Polar,Autumn,3626
North,Dairy,Low,Low,Polar,Winter,3493
North,Grains,High,High,Tropical,Spring,6267
North,Grains,High,High,Tropical,Summer,5859
North,Grains,High,High,Tropical,Autumn,3971
North,Grains,High,High,Tropical,Winter,9347
North,Grains,High,High,Temperate,Spring,3999
North,Grains,High,High,Temperate,Summer,6365
North,Grains,High,High,Temperate,Autumn,6634
North,Grains,High,High,Temperate,Winter,4348
North,Grains,High,High,Continental,Spring,3193
North,Grains,High,High,Continental,Summer,1858
North,Grains,High,High,Continental,Autumn,6393
North,Grains,High,High,Continental,Winter,7878
North,Grains,High,High,Polar,Spring,9332
North,Grains,High,High,Polar,Summer,7006
North,Grains,High,High,Polar,Autumn,6008
North,Grains,High,High,Polar,Winter,4248
North,Grains,High,Medium,Tropical,Spring,8249
North,Grains,High,Medium,Tropical,Summer,3238
North,Grains,High,Medium,Tropical,Autumn,4654
North,Grains,High,Medium,Tropical,Winter,7271
North,Grains,High,Medium,Temperate,Spring,7459
North,Grains,High,Medium,Temperate,Summer,3045
North,Grains,High,Medium,Temperate,Autumn,4117
North,Grains,High,Medium,Temperate,Winter,2033
North,Grains,High,Medium,Continental,Spring,8233
North,Grains,High,Medium,Continental,Summer,3779
North,Grains,High,Medium,Continental,Autumn,1198
North,Grains,High,Medium,Continental,Winter,8487
North,Grains,High,Medium,Polar,Spring,1828
North,Grains,High,Medium,Polar,Summer,5200
North,Grains,High,Medium,Polar,Autumn,4975
North,Grains,High,Medium,Polar,Winter,5397
North,Grains,High,Low,Tropical,Spring,2664
North,Grains,High,Low,Tropical,Summer,5131
North,Grains,High,Low,Tropical,Autumn,2430
North,Grains,High,Low,Tropical,Winter,3500
North,Grains,High,Low,Temperate,Spring,1207
North,Grains,High,Low,Temperate,Summer,5144
North,Grains,High,Low,Temperate,Autumn,6599
North,Grains,High,Low,Temperate,Winter,1664
North,Grains,High,Low,Continental,Spring,7430
North,Grains,High,Low,Continental,Summer,6983
North,Grains,High,Low,Continental,Autumn,3684
North,Grains,High,Low,Continental,Winter,8757
North,Grains,High,Low,Polar,Spring,9057
North,Grains,High,Low,Polar,Summer,7532
North,Grains,High,Low,Polar,Autumn,9716
North,Grains,High,Low,Polar,Winter,6905
North,Grains,Medium,High,Tropical,Spring,6518
North,Grains,Medium,High,Tropical,Summer,8376
North,Grains,Medium,High,Tropical,Autumn,3301
North,Grains,Medium,High,Tropical,Winter,9737
North,Grains,Medium,High,Temperate,Spring,8024
North,Grains,Medium,High,Temperate,Summer,5257
North,Grains,Medium,High,Temperate,Autumn,8106
North,Grains,Medium,High,Temperate,Winter,9008
North,Grains,Medium,High,Continental,Spring,4154
North,Grains,Medium,High,Continental,Summer,5811
North,Grains,Medium,High,Continental,Autumn,9970
North,Grains,Medium,High,Continental,Winter,6342
North,Grains,Medium,High,Polar,Spring,4046
North,Grains,Medium,High,Polar,Summer,3732
North,Grains,Medium,High,Polar,Autumn,7296
North,Grains,Medium,High,Polar,Winter,6262
North,Grains,Medium,Medium,Tropical,Spring,5604
North,Grains,Medium,Medium,Tropical,Summer,5918
North,Grains,Medium,Medium,Tropical,Autumn,4203
North,Grains,Medium,Medium,Tropical,Winter,3577
North,Grains,Medium,Medium,Temperate,Spring,8127
North,Grains,Medium,Medium,Temperate,Summer,1081
North,Grains,Medium,Medium,Temperate,Autumn,5889
North,Grains,Medium,Medium,Temperate,Winter,7067
North,Grains,Medium,Medium,Continental,Spring,1739
North,Grains,Medium,Medium,Continental,Summer,4889
North,Grains,Medium,Medium,Continental,Autumn,1720
North,Grains,Medium,Medium,Continental,Winter,1934
North,Grains,Medium,Medium,Polar,Spring,2259
North,Grains,Medium,Medium,Polar,Summer,6650
North,Grains,Medium,Medium,Polar,Autumn,6538
North,Grains,Medium,Medium,Polar,Winter,7085
North,Grains,Medium,Low,Tropical,Spring,1423
North,Grains,Medium,Low,Tropical,Summer,2185
North,Grains,Medium,Low,Tropical,Autumn,9550
North,Grains,Medium,Low,Tropical,Winter,6785
North,Grains,Medium,Low,Temperate,Spring,3743
North,Grains,Medium,Low,Temperate,Summer,2517
North,Grains,Medium,Low,Temperate,Autumn,9731
North,Grains,Medium,Low,Temperate,Winter,6128
North,Grains,Medium,Low,Continental,Spring,3315
North,Grains,Medium,Low,Continental,Summer,4547
North,Grains,Medium,Low,Continental,Autumn,8657
North,Grains,Medium,Low,Continental,Winter,2237
North,Grains,Medium,Low,Polar,Spring,2288
North,Grains,Medium,Low,Polar,Summer,4916
North,Grains,Medium,Low,Polar,Autumn,9122
North,Grains,Medium,Low,Polar,Winter,1588
North,Grains,Low,High,Tropical,Spring,4396
North,Grains,Low,High,Tropical,Summer,8677
North,Grains,Low,High,Tropical,Autumn,6531
North,Grains,Low,High,Tropical,Winter,4446
North,Grains,Low,High,Temperate,Spring,3058
North,Grains,Low,High,Temperate,Summer,3750
North,Grains,Low,High,Temperate,Autumn,9446
North,Grains,Low,High,Temperate,Winter,7387
North,Grains,Low,High,Continental,Spring,6533
North,Grains,Low,High,Continental,Summer,3938
North,Grains,Low,High,Continental,Autumn,4927
North,Grains,Low,High,Continental,Winter,5972
North,Grains,Low,High,Polar,Spring,6704
North,Grains,Low,High,Polar,Summer,8526
North,Grains,Low,High,Polar,Autumn,8505
North,Grains,Low,High,Polar,Winter,5525
North,Grains,Low,Medium,Tropical,Spring,4037
North,Grains,Low,Medium,Tropical,Summer,4175
North,Grains,Low,Medium,Tropical,Autumn,9782
North,Grains,Low,Medium,Tropical,Winter,1744
North,Grains,Low,Medium,Temperate,Spring,8243
North,Grains,Low,Medium,Temperate,Summer,4030
North,Grains,Low,Medium,Temperate,Autumn,7729
North,Grains,Low,Medium,Temperate,Winter,8864
North,Grains,Low,Medium,Continental,Spring,2834
North,Grains,Low,Medium,Continental,Summer,4321
North,Grains,Low,Medium,Continental,Autumn,8406
North,Grains,Low,Medium,Continental,Winter,1263
North,Grains,Low,Medium,Polar,Spring,3851
North,Grains,Low,Medium,Polar,Summer,4264
North,Grains,Low,Medium,Polar,Autumn,6804
North,Grains,Low,Medium,Polar,Winter,2955
North,Grains,Low,Low,Tropical,Spring,1607
North,Grains,Low,Low,Tropical,Summer,7389
