Portal,Product Category,Brand,Location,Rating,Discount Level,Price,Orders
BigBasket,Fruits,Brand A,West,5,High,290,1814
BigBasket,Fruits,Brand B,North,1,Low,189,447
BigBasket,Fruits,Brand B,North,1,Medium,462,3589
BigBasket,Fruits,Brand B,North,1,High,209,1575
BigBasket,Fruits,Brand B,North,2,Low,224,2339
BigBasket,Fruits,Brand B,North,2,Medium,452,3394
BigBasket,Fruits,Brand B,North,2,High,178,1486
BigBasket,Fruits,Brand B,North,3,Low,103,2328
BigBasket,Fruits,Brand B,North,3,Medium,434,1534
BigBasket,Fruits,Brand B,North,3,High,401,2950
BigBasket,Fruits,Brand B,North,4,Low,135,374
BigBasket,Fruits,Brand B,North,4,Medium,497,2888
BigBasket,Fruits,Brand B,North,4,High,300,3943
BigBasket,Fruits,Brand B,North,5,Low,343,2915
BigBasket,Fruits,Brand B,North,5,Medium,172,2863
BigBasket,Fruits,Brand B,North,5,High,243,3200
BigBasket,Fruits,Brand B,South,1,Low,457,3864
BigBasket,Fruits,Brand B,South,1,Medium,477,4764
BigBasket,Fruits,Brand B,South,1,High,422,4954
BigBasket,Fruits,Brand B,South,2,Low,294,3081
BigBasket,Fruits,Brand B,South,2,Medium,424,4610
BigBasket,Fruits,Brand B,South,2,High,58,347
BigBasket,Fruits,Brand B,South,3,Low,176,502
BigBasket,Fruits,Brand B,South,3,Medium,434,4333
BigBasket,Fruits,Brand B,South,3,High,303,818
BigBasket,Fruits,Brand B,South,4,Low,151,4972
BigBasket,Fruits,Brand B,South,4,Medium,119,4445
BigBasket,Fruits,Brand B,South,4,High,354,125
BigBasket,Fruits,Brand B,South,5,Low,261,540
BigBasket,Fruits,Brand B,South,5,Medium,322,3103
BigBasket,Fruits,Brand B,South,5,High,171,2191
BigBasket,Fruits,Brand B,East,1,Low,362,4897
BigBasket,Fruits,Brand B,East,1,Medium,95,3560
BigBasket,Fruits,Brand B,East,1,High,220,3398
BigBasket,Fruits,Brand B,East,2,Low,343,4678
BigBasket,Fruits,Brand B,East,2,Medium,183,4944
BigBasket,Fruits,Brand B,East,2,High,293,1331
BigBasket,Fruits,Brand B,East,3,Low,399,914
BigBasket,Fruits,Brand B,East,3,Medium,354,945
BigBasket,Fruits,Brand B,East,3,High,170,2583
BigBasket,Fruits,Brand B,East,4,Low,198,2507
BigBasket,Fruits,Brand B,East,4,Medium,258,1526
BigBasket,Fruits,Brand B,East,4,High,282,2396
BigBasket,Fruits,Brand B,East,5,Low,492,3046
BigBasket,Fruits,Brand B,East,5,Medium,331,3997
BigBasket,Fruits,Brand B,East,5,High,61,3316
BigBasket,Fruits,Brand B,West,1,Low,374,2003
BigBasket,Fruits,Brand B,West,1,Medium,417,4258
BigBasket,Fruits,Brand B,West,1,High,394,2840
BigBasket,Fruits,Brand B,West,2,Low,353,403
BigBasket,Fruits,Brand B,West,2,Medium,53,1464
BigBasket,Fruits,Brand B,West,2,High,359,4213
BigBasket,Fruits,Brand B,West,3,Low,464,4693
BigBasket,Fruits,Brand B,West,3,Medium,351,2836
BigBasket,Fruits,Brand B,West,3,High,454,1627
BigBasket,Fruits,Brand B,West,4,Low,229,2814
BigBasket,Fruits,Brand B,West,4,Medium,82,819
BigBasket,Fruits,Brand B,West,4,High,367,4096
BigBasket,Fruits,Brand B,West,5,Low,342,4495
BigBasket,Fruits,Brand B,West,5,Medium,221,959
BigBasket,Fruits,Brand B,West,5,High,199,4663
BigBasket,Fruits,Brand C,North,1,Low,137,1571
BigBasket,Fruits,Brand C,North,1,Medium,167,3037
BigBasket,Fruits,Brand C,North,1,High,499,1842
BigBasket,Fruits,Brand C,North,2,Low,351,831
BigBasket,Fruits,Brand C,North,2,Medium,371,652
BigBasket,Fruits,Brand C,North,2,High,352,840
BigBasket,Fruits,Brand C,North,3,Low,87,2298
BigBasket,Fruits,Brand C,North,3,Medium,146,1694
BigBasket,Fruits,Brand C,North,3,High,326,1505
BigBasket,Fruits,Brand C,North,4,Low,480,1158
BigBasket,Fruits,Brand C,North,4,Medium,187,1119
BigBasket,Fruits,Brand C,North,4,High,285,944
BigBasket,Fruits,Brand C,North,5,Low,443,4761
BigBasket,Fruits,Brand C,North,5,Medium,347,1588
BigBasket,Fruits,Brand C,North,5,High,101,1101
BigBasket,Fruits,Brand C,South,1,Low,224,761
BigBasket,Fruits,Brand C,South,1,Medium,395,4035
BigBasket,Fruits,Brand C,South,1,High,498,3889
BigBasket,Fruits,Brand C,South,2,Low,273,979
BigBasket,Fruits,Brand C,South,2,Medium,281,3167
BigBasket,Fruits,Brand C,South,2,High,354,562
BigBasket,Fruits,Brand C,South,3,Low,414,1330
BigBasket,Fruits,Brand C,South,3,Medium,228,2265
BigBasket,Fruits,Brand C,South,3,High,143,336
BigBasket,Fruits,Brand C,South,4,Low,490,1923
BigBasket,Fruits,Brand C,South,4,Medium,343,3086
BigBasket,Fruits,Brand C,South,4,High,313,1578
BigBasket,Fruits,Brand C,South,5,Low,124,259
BigBasket,Fruits,Brand C,South,5,Medium,237,477
BigBasket,Fruits,Brand C,South,5,High,389,4940
BigBasket,Fruits,Brand C,East,1,Low,491,1410
BigBasket,Fruits,Brand C,East,1,Medium,317,1794
BigBasket,Fruits,Brand C,East,1,High,350,4106
BigBasket,Fruits,Brand C,East,2,Low,58,230
BigBasket,Fruits,Brand C,East,2,Medium,130,3237
BigBasket,Fruits,Brand C,East,2,High,449,4361
BigBasket,Fruits,Brand C,East,3,Low,212,1041
BigBasket,Fruits,Brand C,East,3,Medium,373,616
BigBasket,Fruits,Brand C,East,3,High,84,3975
BigBasket,Fruits,Brand C,East,4,Low,178,1510
BigBasket,Fruits,Brand C,East,4,Medium,353,4664
BigBasket,Fruits,Brand C,East,4,High,412,3803
BigBasket,Fruits,Brand C,East,5,Low,425,2322
BigBasket,Fruits,Brand C,East,5,Medium,467,4536
BigBasket,Fruits,Brand C,East,5,High,123,1839
BigBasket,Fruits,Brand C,West,1,Low,140,623
BigBasket,Fruits,Brand C,West,1,Medium,407,926
BigBasket,Fruits,Brand C,West,1,High,372,1762
BigBasket,Fruits,Brand C,West,2,Low,133,220
BigBasket,Fruits,Brand C,West,2,Medium,110,357
BigBasket,Fruits,Brand C,West,2,High,125,1255
BigBasket,Fruits,Brand C,West,3,Low,332,2473
BigBasket,Fruits,Brand C,West,3,Medium,63,3778
BigBasket,Fruits,Brand C,West,3,High,138,3250
BigBasket,Fruits,Brand C,West,4,Low,389,3936
BigBasket,Fruits,Brand C,West,4,Medium,123,1859
BigBasket,Fruits,Brand C,West,4,High,117,3717
BigBasket,Fruits,Brand C,West,5,Low,233,4032
BigBasket,Fruits,Brand C,West,5,Medium,254,4345
BigBasket,Fruits,Brand C,West,5,High,165,4716
BigBasket,Fruits,Brand D,North,1,Low,223,183
BigBasket,Fruits,Brand D,North,1,Medium,444,4391
BigBasket,Fruits,Brand D,North,1,High,348,1199
BigBasket,Fruits,Brand D,North,2,Low,307,1160
BigBasket,Fruits,Brand D,North,2,Medium,470,3290
BigBasket,Fruits,Brand D,North,2,High,181,2406
BigBasket,Fruits,Brand D,North,3,Low,419,308
BigBasket,Fruits,Brand D,North,3,Medium,466,318
BigBasket,Fruits,Brand D,North,3,High,138,1060
BigBasket,Fruits,Brand D,North,4,Low,396,822
BigBasket,Fruits,Brand D,North,4,Medium,166,2109
BigBasket,Fruits,Brand D,North,4,High,287,2932
BigBasket,Fruits,Brand D,North,5,Low,97,118
BigBasket,Fruits,Brand D,North,5,Medium,393,4311
BigBasket,Fruits,Brand D,North,5,High,232,2486
BigBasket,Fruits,Brand D,South,1,Low,485,578
BigBasket,Fruits,Brand D,South,1,Medium,102,879
BigBasket,Fruits,Brand D,South,1,High,266,1357
BigBasket,Fruits,Brand D,South,2,Low,248,3566
BigBasket,Fruits,Brand D,South,2,Medium,446,3588
BigBasket,Fruits,Brand D,South,2,High,172,2398
BigBasket,Fruits,Brand D,South,3,Low,189,1188
BigBasket,Fruits,Brand D,South,3,Medium,211,2439
BigBasket,Fruits,Brand D,South,3,High,404,774
BigBasket,Fruits,Brand D,South,4,Low,483,2690
BigBasket,Fruits,Brand D,South,4,Medium,99,3570
BigBasket,Fruits,Brand D,South,4,High,250,3873
BigBasket,Fruits,Brand D,South,5,Low,172,1630
BigBasket,Fruits,Brand D,South,5,Medium,454,3808
BigBasket,Fruits,Brand D,South,5,High,84,4889
BigBasket,Fruits,Brand D,East,1,Low,471,1502
BigBasket,Fruits,Brand D,East,1,Medium,268,4380
BigBasket,Fruits,Brand D,East,1,High,431,2231
BigBasket,Fruits,Brand D,East,2,Low,453,4977
BigBasket,Fruits,Brand D,East,2,Medium,464,759
BigBasket,Fruits,Brand D,East,2,High,54,3288
BigBasket,Fruits,Brand D,East,3,Low,265,1733
BigBasket,Fruits,Brand D,East,3,Medium,165,1181
BigBasket,Fruits,Brand D,East,3,High,204,3359
BigBasket,Fruits,Brand D,East,4,Low,195,1455
BigBasket,Fruits,Brand D,East,4,Medium,143,4077
BigBasket,Fruits,Brand D,East,4,High,444,308
BigBasket,Fruits,Brand D,East,5,Low,209,4505
BigBasket,Fruits,Brand D,East,5,Medium,87,3210
BigBasket,Fruits,Brand D,East,5,High,275,1347
BigBasket,Fruits,Brand D,West,1,Low,348,2535
BigBasket,Fruits,Brand D,West,1,Medium,244,144
BigBasket,Fruits,Brand D,West,1,High,388,4258
BigBasket,Fruits,Brand D,West,2,Low,204,3949
BigBasket,Fruits,Brand D,West,2,Medium,471,3331
BigBasket,Fruits,Brand D,West,2,High,68,851
BigBasket,Fruits,Brand D,West,3,Low,93,3830
BigBasket,Fruits,Brand D,West,3,Medium,329,632
BigBasket,Fruits,Brand D,West,3,High,134,3679
BigBasket,Fruits,Brand D,West,4,Low,172,2146
BigBasket,Fruits,Brand D,West,4,Medium,378,4332
BigBasket,Fruits,Brand D,West,4,High,401,3475
BigBasket,Fruits,Brand D,West,5,Low,420,954
BigBasket,Fruits,Brand D,West,5,Medium,432,2949
BigBasket,Fruits,Brand D,West,5,High,246,3919
BigBasket,Fruits,Brand E,North,1,Low,352,3657
BigBasket,Fruits,Brand E,North,1,Medium,250,1927
BigBasket,Fruits,Brand E,North,1,High,51,3563
BigBasket,Fruits,Brand E,North,2,Low,141,3727
BigBasket,Fruits,Brand E,North,2,Medium,385,4836
BigBasket,Fruits,Brand E,North,2,High,360,1937
BigBasket,Fruits,Brand E,North,3,Low,96,321
BigBasket,Fruits,Brand E,North,3,Medium,65,4503
BigBasket,Fruits,Brand E,North,3,High,268,2107
BigBasket,Fruits,Brand E,North,4,Low,252,3540
BigBasket,Fruits,Brand E,North,4,Medium,207,2000
BigBasket,Fruits,Brand E,North,4,High,441,3371
BigBasket,Fruits,Brand E,North,5,Low,279,4845
BigBasket,Fruits,Brand E,North,5,Medium,380,3495
BigBasket,Fruits,Brand E,North,5,High,224,360
BigBasket,Fruits,Brand E,South,1,Low,367,2197
BigBasket,Fruits,Brand E,South,1,Medium,331,2385
BigBasket,Fruits,Brand E,South,1,High,398,1799
BigBasket,Fruits,Brand E,South,2,Low,100,1839
BigBasket,Fruits,Brand E,South,2,Medium,372,691
BigBasket,Fruits,Brand E,South,2,High,108,4528
BigBasket,Fruits,Brand E,South,3,Low,234,1307
BigBasket,Fruits,Brand E,South,3,Medium,143,2804
BigBasket,Fruits,Brand E,South,3,High,143,2616
BigBasket,Fruits,Brand E,South,4,Low,368,155
BigBasket,Fruits,Brand E,South,4,Medium,357,2803
BigBasket,Fruits,Brand E,South,4,High,364,4623
BigBasket,Fruits,Brand E,South,5,Low,355,4495
BigBasket,Fruits,Brand E,South,5,Medium,404,2719
BigBasket,Fruits,Brand E,South,5,High,462,3502
BigBasket,Fruits,Brand E,East,1,Low,80,1525
BigBasket,Fruits,Brand E,East,1,Medium,169,1986
BigBasket,Fruits,Brand E,East,1,High,473,168
BigBasket,Fruits,Brand E,East,2,Low,382,651
BigBasket,Fruits,Brand E,East,2,Medium,68,4966
BigBasket,Fruits,Brand E,East,2,High,452,366
BigBasket,Fruits,Brand E,East,3,Low,251,2996
BigBasket,Fruits,Brand E,East,3,Medium,419,2932
BigBasket,Fruits,Brand E,East,3,High,423,1835
BigBasket,Fruits,Brand E,East,4,Low,139,4495
BigBasket,Fruits,Brand E,East,4,Medium,258,2726
BigBasket,Fruits,Brand E,East,4,High,100,2725
BigBasket,Fruits,Brand E,East,5,Low,283,3682
BigBasket,Fruits,Brand E,East,5,Medium,498,1490
BigBasket,Fruits,Brand E,East,5,High,305,353
BigBasket,Fruits,Brand E,West,1,Low,201,4067
BigBasket,Fruits,Brand E,West,1,Medium,203,367
BigBasket,Fruits,Brand E,West,1,High,448,4850
BigBasket,Fruits,Brand E,West,2,Low,216,1906
BigBasket,Fruits,Brand E,West,2,Medium,213,1384
BigBasket,Fruits,Brand E,West,2,High,368,4069
BigBasket,Fruits,Brand E,West,3,Low,323,2710
BigBasket,Fruits,Brand E,West,3,Medium,53,4547
BigBasket,Fruits,Brand E,West,3,High,444,1588
BigBasket,Fruits,Brand E,West,4,Low,88,3201
BigBasket,Fruits,Brand E,West,4,Medium,149,2478
BigBasket,Fruits,Brand E,West,4,High,155,4803
BigBasket,Fruits,Brand E,West,5,Low,446,2423
BigBasket,Fruits,Brand E,West,5,Medium,387,2017
BigBasket,Fruits,Brand E,West,5,High,113,1942
BigBasket,Vegetables,Brand A,North,1,Low,218,492
BigBasket,Vegetables,Brand A,North,1,Medium,206,4654
BigBasket,Vegetables,Brand A,North,1,High,392,834
BigBasket,Vegetables,Brand A,North,2,Low,79,3686
BigBasket,Vegetables,Brand A,North,2,Medium,99,4754
BigBasket,Vegetables,Brand A,North,2,High,105,3141
BigBasket,Vegetables,Brand A,North,3,Low,185,4657
BigBasket,Vegetables,Brand A,North,3,Medium,478,2577
BigBasket,Vegetables,Brand A,North,3,High,478,3208
BigBasket,Vegetables,Brand A,North,4,Low,471,2183
BigBasket,Vegetables,Brand A,North,4,Medium,395,4590
BigBasket,Vegetables,Brand A,North,4,High,471,1825
BigBasket,Vegetables,Brand A,North,5,Low,224,395
BigBasket,Vegetables,Brand A,North,5,Medium,262,1353
BigBasket,Vegetables,Brand A,North,5,High,328,936
BigBasket,Vegetables,Brand A,South,1,Low,215,4243
BigBasket,Vegetables,Brand A,South,1,Medium,456,1526
BigBasket,Vegetables,Brand A,South,1,High,182,4292
BigBasket,Vegetables,Brand A,South,2,Low,410,1091
BigBasket,Vegetables,Brand A,South,2,Medium,56,1911
BigBasket,Vegetables,Brand A,South,2,High,343,3462
BigBasket,Vegetables,Brand A,South,3,Low,432,1727
BigBasket,Vegetables,Brand A,South,3,Medium,388,3362
BigBasket,Vegetables,Brand A,South,3,High,115,2455
BigBasket,Vegetables,Brand A,South,4,Low,304,1253
BigBasket,Vegetables,Brand A,South,4,Medium,371,2705
BigBasket,Vegetables,Brand A,South,4,High,53,4373
BigBasket,Vegetables,Brand A,South,5,Low,155,2156
BigBasket,Vegetables,Brand A,South,5,Medium,159,2642
BigBasket,Vegetables,Brand A,South,5,High,446,2937
BigBasket,Vegetables,Brand A,East,1,Low,355,833
BigBasket,Vegetables,Brand A,East,1,Medium,205,4516
BigBasket,Vegetables,Brand A,East,1,High,465,3832
BigBasket,Vegetables,Brand A,East,2,Low,221,696
BigBasket,Vegetables,Brand A,East,2,Medium,255,3390
BigBasket,Vegetables,Brand A,East,2,High,417,4408
BigBasket,Vegetables,Brand A,East,3,Low,233,3332
BigBasket,Vegetables,Brand A,East,3,Medium,359,381
BigBasket,Vegetables,Brand A,East,3,High,499,1551
BigBasket,Vegetables,Brand A,East,4,Low,410,4052
BigBasket,Vegetables,Brand A,East,4,Medium,421,2770
BigBasket,Vegetables,Brand A,East,4,High,173,1272
BigBasket,Vegetables,Brand A,East,5,Low,231,2900
BigBasket,Vegetables,Brand A,East,5,Medium,382,152
BigBasket,Vegetables,Brand A,East,5,High,446,1775
BigBasket,Vegetables,Brand A,West,1,Low,120,754
BigBasket,Vegetables,Brand A,West,1,Medium,119,2204
BigBasket,Vegetables,Brand A,West,1,High,139,204
BigBasket,Vegetables,Brand A,West,2,Low,495,4509
BigBasket,Vegetables,Brand A,West,2,Medium,201,4189
BigBasket,Vegetables,Brand A,West,2,High,299,932
BigBasket,Vegetables,Brand A,West,3,Low,283,2320
BigBasket,Vegetables,Brand A,West,3,Medium,461,3863
BigBasket,Vegetables,Brand A,West,3,High,110,1791
BigBasket,Vegetables,Brand A,West,4,Low,323,2590
BigBasket,Vegetables,Brand A,West,4,Medium,450,223
BigBasket,Vegetables,Brand A,West,4,High,132,4867
BigBasket,Vegetables,Brand A,West,5,Low,427,3285
BigBasket,Vegetables,Brand A,West,5,Medium,460,4231
BigBasket,Vegetables,Brand A,West,5,High,356,2426
BigBasket,Vegetables,Brand B,North,1,Low,252,3420
BigBasket,Vegetables,Brand B,North,1,Medium,128,4848
BigBasket,Vegetables,Brand B,North,1,High,291,3788
BigBasket,Vegetables,Brand B,North,2,Low,170,4769
BigBasket,Vegetables,Brand B,North,2,Medium,172,1913
BigBasket,Vegetables,Brand B,North,2,High,249,1920
BigBasket,Vegetables,Brand B,North,3,Low,52,728
BigBasket,Vegetables,Brand B,North,3,Medium,298,4841
BigBasket,Vegetables,Brand B,North,3,High,199,1074
BigBasket,Vegetables,Brand B,North,4,Low,401,3655
BigBasket,Vegetables,Brand B,North,4,Medium,191,725
BigBasket,Vegetables,Brand B,North,4,High,416,1192
BigBasket,Vegetables,Brand B,North,5,Low,392,2081
BigBasket,Vegetables,Brand B,North,5,Medium,367,4400
BigBasket,Vegetables,Brand B,North,5,High,192,4382
BigBasket,Vegetables,Brand B,South,1,Low,278,2796
BigBasket,Vegetables,Brand B,South,1,Medium,423,2850
BigBasket,Vegetables,Brand B,South,1,High,129,1452
BigBasket,Vegetables,Brand B,South,2,Low,214,2807
BigBasket,Vegetables,Brand B,South,2,Medium,200,3929
BigBasket,Vegetables,Brand B,South,2,High,350,818
BigBasket,Vegetables,Brand B,South,3,Low,394,3660
BigBasket,Vegetables,Brand B,South,3,Medium,112,1874
BigBasket,Vegetables,Brand B,South,3,High,438,4087
BigBasket,Vegetables,Brand B,South,4,Low,94,3666
BigBasket,Vegetables,Brand B,South,4,Medium,144,4902
BigBasket,Vegetables,Brand B,South,4,High,57,1770
BigBasket,Vegetables,Brand B,South,5,Low,449,4965
BigBasket,Vegetables,Brand B,South,5,Medium,478,4894
BigBasket,Vegetables,Brand B,South,5,High,84,3841
BigBasket,Vegetables,Brand B,East,1,Low,233,360
BigBasket,Vegetables,Brand B,East,1,Medium,231,2720
BigBasket,Vegetables,Brand B,East,1,High,74,4134
BigBasket,Vegetables,Brand B,East,2,Low,470,347
BigBasket,Vegetables,Brand B,East,2,Medium,353,3716
BigBasket,Vegetables,Brand B,East,2,High,75,4701
BigBasket,Vegetables,Brand B,East,3,Low,173,3667
BigBasket,Vegetables,Brand B,East,3,Medium,405,3391
BigBasket,Vegetables,Brand B,East,3,High,373,481
BigBasket,Vegetables,Brand B,East,4,Low,168,2947
BigBasket,Vegetables,Brand B,East,4,Medium,177,3918
BigBasket,Vegetables,Brand B,East,4,High,251,4172
BigBasket,Vegetables,Brand B,East,5,Low,460,459
BigBasket,Vegetables,Brand B,East,5,Medium,228,3632
BigBasket,Vegetables,Brand B,East,5,High,355,4401
BigBasket,Vegetables,Brand B,West,1,Low,492,4438
BigBasket,Vegetables,Brand B,West,1,Medium,107,1806
BigBasket,Vegetables,Brand B,West,1,High,292,2891
BigBasket,Vegetables,Brand B,West,2,Low,60,189
BigBasket,Vegetables,Brand B,West,2,Medium,317,3852
BigBasket,Vegetables,Brand B,West,2,High,407,4232
BigBasket,Vegetables,Brand B,West,3,Low,194,4060
BigBasket,Vegetables,Brand B,West,3,Medium,51,2057
BigBasket,Vegetables,Brand B,West,3,High,300,1030
BigBasket,Vegetables,Brand B,West,4,Low,95,4755
BigBasket,Vegetables,Brand B,West,4,Medium,489,4628
BigBasket,Vegetables,Brand B,West,4,High,326,1038
BigBasket,Vegetables,Brand B,West,5,Low,55,4595
BigBasket,Vegetables,Brand B,West,5,Medium,226,3028
BigBasket,Vegetables,Brand B,West,5,High,493,1176
BigBasket,Vegetables,Brand C,North,1,Low,74,542
BigBasket,Vegetables,Brand C,North,1,Medium,145,2996
BigBasket,Vegetables,Brand C,North,1,High,383,4621
BigBasket,Vegetables,Brand C,North,2,Low,282,2604
BigBasket,Vegetables,Brand C,North,2,Medium,86,665
BigBasket,Vegetables,Brand C,North,2,High,115,3331
BigBasket,Vegetables,Brand C,North,3,Low,307,3822
BigBasket,Vegetables,Brand C,North,3,Medium,219,3207
BigBasket,Vegetables,Brand C,North,3,High,341,2291
BigBasket,Vegetables,Brand C,North,4,Low,86,1881
BigBasket,Vegetables,Brand C,North,4,Medium,169,1938
BigBasket,Vegetables,Brand C,North,4,High,221,3253
BigBasket,Vegetables,Brand C,North,5,Low,96,3701
BigBasket,Vegetables,Brand C,North,5,Medium,351,2550
BigBasket,Vegetables,Brand C,North,5,High,177,2311
BigBasket,Vegetables,Brand C,South,1,Low,109,240
BigBasket,Vegetables,Brand C,South,1,Medium,384,997
BigBasket,Vegetables,Brand C,South,1,High,149,3741
BigBasket,Vegetables,Brand C,South,2,Low,479,625
BigBasket,Vegetables,Brand C,South,2,Medium,266,1248
BigBasket,Vegetables,Brand C,South,2,High,189,1300
BigBasket,Vegetables,Brand C,South,3,Low,222,4240
BigBasket,Vegetables,Brand C,South,3,Medium,491,1148
BigBasket,Vegetables,Brand C,South,3,High,390,3727
BigBasket,Vegetables,Brand C,South,4,Low,233,2578
BigBasket,Vegetables,Brand C,South,4,Medium,163,3054
BigBasket,Vegetables,Brand C,South,4,High,466,1692
BigBasket,Vegetables,Brand C,South,5,Low,232,4012
BigBasket,Vegetables,Brand C,South,5,Medium,465,4754
BigBasket,Vegetables,Brand C,South,5,High,62,457
BigBasket,Vegetables,Brand C,East,1,Low,295,3223
BigBasket,Vegetables,Brand C,East,1,Medium,490,1009
BigBasket,Vegetables,Brand C,East,1,High,266,2035
BigBasket,Vegetables,Brand C,East,2,Low,165,2315
BigBasket,Vegetables,Brand C,East,2,Medium,66,3339
BigBasket,Vegetables,Brand C,East,2,High,147,1212
BigBasket,Vegetables,Brand C,East,3,Low,486,1249
BigBasket,Vegetables,Brand C,East,3,Medium,130,1467
BigBasket,Vegetables,Brand C,East,3,High,134,1558
BigBasket,Vegetables,Brand C,East,4,Low,123,2286
BigBasket,Vegetables,Brand C,East,4,Medium,276,4348
BigBasket,Vegetables,Brand C,East,4,High,412,4458
BigBasket,Vegetables,Brand C,East,5,Low,144,4200
BigBasket,Vegetables,Brand C,East,5,Medium,350,2130
BigBasket,Vegetables,Brand C,East,5,High,241,4504
BigBasket,Vegetables,Brand C,West,1,Low,413,504
BigBasket,Vegetables,Brand C,West,1,Medium,145,4056
BigBasket,Vegetables,Brand C,West,1,High,292,298
BigBasket,Vegetables,Brand C,West,2,Low,401,1233
BigBasket,Vegetables,Brand C,West,2,Medium,338,4870
BigBasket,Vegetables,Brand C,West,2,High,299,4323
BigBasket,Vegetables,Brand C,West,3,Low,419,4964
BigBasket,Vegetables,Brand C,West,3,Medium,327,454
BigBasket,Vegetables,Brand C,West,3,High,54,2710
BigBasket,Vegetables,Brand C,West,4,Low,322,3658
BigBasket,Vegetables,Brand C,West,4,Medium,397,1530
BigBasket,Vegetables,Brand C,West,4,High,479,348
BigBasket,Vegetables,Brand C,West,5,Low,391,3082
BigBasket,Vegetables,Brand C,West,5,Medium,188,4097
BigBasket,Vegetables,Brand C,West,5,High,442,1803
BigBasket,Vegetables,Brand D,North,1,Low,149,3946
BigBasket,Vegetables,Brand D,North,1,Medium,312,3891
BigBasket,Vegetables,Brand D,North,1,High,331,4028
BigBasket,Vegetables,Brand D,North,2,Low,54,4559
BigBasket,Vegetables,Brand D,North,2,Medium,494,2851
BigBasket,Vegetables,Brand D,North,2,High,196,139
BigBasket,Vegetables,Brand D,North,3,Low,416,4213
BigBasket,Vegetables,Brand D,North,3,Medium,56,4017
BigBasket,Vegetables,Brand D,North,3,High,145,1683
BigBasket,Vegetables,Brand D,North,4,Low,199,565
BigBasket,Vegetables,Brand D,North,4,Medium,188,3884
BigBasket,Vegetables,Brand D,North,4,High,147,2810
BigBasket,Vegetables,Brand D,North,5,Low,215,218
BigBasket,Vegetables,Brand D,North,5,Medium,144,3533
